,train_loss,train_accuracy,val_loss,val_accuracy
0,0.24237002,0.9068038,0.19618525,0.92125
1,0.12337788,0.9596519,0.14030144,0.94624996
2,0.09288184,0.971519,0.14278747,0.9525
3,0.069114625,0.9795434,0.16632399,0.9516666
4,0.06985119,0.97911394,0.1356393,0.9483333
5,0.036509436,0.9892405,0.13048625,0.96166664
6,0.046311054,0.9863472,0.12759215,0.96375
7,0.056263015,0.9824367,0.115947805,0.9575
8,0.045545723,0.98967,0.09876519,0.96458334
9,0.027158784,0.9941456,0.25813648,0.95874995
10,0.05782945,0.98417723,0.17426702,0.9458333
11,0.024768773,0.99556965,0.11937971,0.96166664
12,0.019926049,0.9958861,0.164186,0.95124996
13,0.02252354,0.99556965,0.1050498,0.965
14,0.023467217,0.99462026,0.12290101,0.9575
15,0.012065725,0.9995253,0.07707478,0.97875
16,0.009755865,1.0011076,0.06227737,0.9804166
17,0.0064464016,1.0017405,0.075873815,0.98499995
18,0.0052314205,1.0011076,0.072636805,0.98249996
19,0.0055257035,1.0014241,0.083570376,0.97875
20,0.0031754174,1.0017405,0.053735655,0.98499995
21,0.0017458563,1.0022151,0.111821786,0.97208333
22,0.0015827707,1.0022151,0.06576531,0.98749995
23,0.007691088,1.0001582,0.09879474,0.97625
24,0.002370399,1.0017405,0.10008462,0.9766666
25,0.0043967357,1.0011076,0.0804383,0.9804166
26,0.0016666945,1.0023735,0.06576496,0.98375
27,0.0017529231,1.002057,0.19475448,0.98625
28,0.0013648511,1.0022151,0.07288124,0.98625
29,0.0014243858,1.0022151,0.08283696,0.98125
30,0.0014523334,1.002057,0.06806137,0.98625
31,0.0032047168,1.0018988,0.08768499,0.98499995
32,0.0011573209,1.0022151,0.072537765,0.97875
33,0.0012646606,1.0022151,0.09668961,0.97583336
34,0.0013690931,1.0018988,0.081659295,0.98375
35,0.0010330931,1.0022151,0.07477629,0.97999996
36,0.0005861487,1.0025316,0.100483015,0.98499995
37,0.0005854449,1.0025316,0.18894312,0.98249996
38,0.000532383,1.0023735,0.067667656,0.97999996
39,0.00047313466,1.0025316,0.09278283,0.97999996
40,0.00143607,1.0018988,0.19387044,0.9766666
41,0.00043416684,1.0025316,0.0865199,0.9791666
42,0.00039128348,1.0025316,0.061239447,0.98125
43,0.0003648269,1.0025316,0.0858495,0.9754166
44,0.0004639712,1.0025316,0.061608117,0.98625
45,0.00054798933,1.0023735,0.29773545,0.9804166
46,0.00033759992,1.0025316,0.08198796,0.97999996
47,0.0008741861,1.0023735,0.0769434,0.98249996
48,0.0005099341,1.0025316,0.19466437,0.9804166
49,0.0008992593,1.0022151,0.0655869,0.98625
50,0.0008017237,1.0022151,0.054119665,0.98249996
51,0.0007084475,1.0023735,0.05723469,0.98499995
52,0.00034845565,1.0025316,0.08189873,0.9804166
53,0.0011637538,1.0023735,0.08463056,0.98125
54,0.0005345504,1.0025316,0.061505776,0.98749995
55,0.0005918754,1.0023735,0.21975242,0.97416663
56,0.0020452377,1.0015823,0.07455391,0.97875
57,0.00042715794,1.0025316,0.17090459,0.98625
58,0.00048532293,1.0025316,0.09441374,0.9779166
59,0.00047491392,1.0023735,0.11689981,0.9816666
60,0.0007056316,1.0023735,0.18620926,0.98499995
61,0.00046064254,1.0025316,0.124168836,0.9770833
62,0.0004328689,1.0025316,0.17753044,0.97875
63,0.0014007225,1.0023735,0.08127855,0.98125
64,0.00037280715,1.0025316,0.07381399,0.98375
65,0.019287022,1.0015823,0.07872133,0.98249996
66,0.00035547663,1.0025316,0.058907866,0.98625
67,0.00051718124,1.0025316,0.07919793,0.97499996
68,0.0005679053,1.0023735,0.06579779,0.98375
69,0.00092152297,1.0023735,0.18114506,0.98375
70,0.00031873625,1.0025316,0.07905935,0.98499995
71,0.0009448199,1.0022151,0.0720943,0.98375
72,0.0006226284,1.0025316,0.07499277,0.98125
73,0.0013299269,1.002057,0.059498474,0.98249996
74,0.0006869215,1.0023735,0.06793295,0.98499995
75,0.0013015739,1.0023735,0.064764805,0.98749995
76,0.00048353933,1.0025316,0.06171196,0.98375
77,0.00050458056,1.0023735,0.07816054,0.97875
78,0.00046854586,1.0025316,0.19232613,0.97375
79,0.00039938465,1.0025316,0.07426078,0.98625
80,0.0012026543,1.0023735,0.082647495,0.9841666
81,0.00042247394,1.0025316,0.062065613,0.98125
82,0.000616259,1.0025316,0.08881763,0.98249996
83,0.0003037464,1.0025316,0.06405503,0.98249996
84,0.0003074777,1.0025316,0.073170744,0.98499995
85,0.00030658933,1.0025316,0.07825405,0.98125
86,0.0005634936,1.0025316,0.09747792,0.97375
87,0.0004060694,1.0025316,0.089073315,0.98249996
88,0.00053028896,1.0023735,0.058753353,0.98249996
89,0.0007833349,1.0023735,0.07909815,0.98625
90,0.00050419645,1.0025316,0.112796135,0.9779166
91,0.00036114315,1.0025316,0.0718213,0.98249996
92,0.00040487866,1.0025316,0.07923804,0.98375
93,0.000731847,1.0023735,0.085419044,0.98125
94,0.00035187285,1.0025316,0.057779077,0.98375
95,0.00045605324,1.0025316,0.04636497,0.98999995
96,0.00054601644,1.0025316,0.051818177,0.98625
97,0.00041681604,1.0025316,0.068177775,0.98375
98,0.0008897125,1.0022151,0.09225907,0.9754166
99,0.00051500095,1.0025316,0.06424321,0.9791666
